Zip,Airport
97358,KSLE
97355,KCVO
24412,N/A
97351,KSLE
97350,KSLE
24413,N/A
24416,KLYH
97352,KSLE
12439,KALB
85379,KLUF
85377,KDVT
12433,KPOU
85378,KGEU
12430,KMSV
36401,KGZH
85375,KLUF
12431,KALB
85373,KGEU
12436,N/A
85374,KLUF
12434,N/A
12435,KMSV
97348,KCVO
12440,KPOU
97347,KMMV
24421,KSHD
97343,KONP
97346,KSLE
24422,KHSP
97345,KCVO
97342,KSLE
24426,KHSP
97341,KONP
12449,KPOU
12443,KPOU
12444,KALB
85367,KNYL
85364,KNYL
12442,KALB
85365,KNYL
85362,KPRC
12448,KPOU
85363,KGEU
12446,KMGJ
85361,KLUF
85392,KGEU
85390,KLUF
97377,KCVO
97376,KJNW
97378,KMMV
97375,N/A
97374,KSLE
12418,KALB
12419,KPOU
12416,KMSV
97371,KSLE
97370,KCVO
12410,KMSV
12411,KPOU
12414,KPSF
85395,KLUF
85396,KBXK
12412,KPOU
12413,KALB
85381,KGEU
97369,KONP
97366,KONP
97365,KONP
24401,KSHD
97368,KS47
97367,KONP
97362,KUAO
97361,KSLE
97364,KONP
12427,KPOU
97360,KSLE
12428,KMGJ
85388,KLUF
12422,KALB
85387,KLUF
12423,KALB
85382,KGEU
85383,KDVT
97394,KJNW
97396,KMMV
97391,KONP
97390,KONP
97392,KSLE
97388,KONP
97389,KCVO
97383,KSLE
97386,KCVO
97385,KSLE
97380,KONP
12405,KALB
12406,KMSV
97381,KSLE
12409,KPOU
12404,KMGJ
12401,KPOU
36360,KHEY
36362,KLOR
48348,KPTK
48346,KPTK
61320,KVYS
61321,KPNT
24377,KJFZ
61322,N/A
61323,N/A
24378,KMKJ
61325,KVYS
61326,KVYS
61327,KVYS
61329,KVYS
61319,KPNT
24370,KJFZ
24375,KMKJ
75972,KOCH
24374,KMKJ
75973,KOCH
75974,KOCH
75975,KOCH
48342,KPTK
75976,KOCH
48341,KPTK
75977,KJAS
48340,KPTK
75979,KJAS
36350,KDHN
36351,KLOR
36352,KHEY
48336,KVLL
61330,KVYS
36353,KDHN
48335,KVLL
48334,KVLL
61333,N/A
61334,KVYS
61335,KVYS
61336,KC75
61337,KVYS
24380,KHLX
24382,KMKJ
24381,KHLX
75960,KLFK
75961,KOCH
87943,KTCS
75962,KOCH
87942,KTCS
87941,KLRU
75964,KOCH
87940,KLRU
48331,KPTK
75965,KOCH
75966,KJAS
75968,KJAS
75969,KOCH
48329,KPTK
48328,KPTK
48327,KPTK
36340,KOZR
48326,KPTK
61341,KC09
48324,KPTK
61342,KVYS
36343,KMAI
48323,KPTK
61344,KSQI
24354,KMKJ
61345,KSQI
61346,KSQI
61348,KVYS
61349,KSQI
24351,KHLX
24350,KHLX
24352,KHLX
36344,KOZR
48322,KPTK
36345,KDHN
36346,KTOI
48320,KPTK
85310,KDVT
36349,KDHN
48317,KVLL
48316,KVLL
61350,KVYS
48315,KMTC
36330,KLOR
48314,KVLL
48313,KMTC
61353,KRPJ
48312,KVLL
61354,KVYS
24366,KBLF
61356,KVYS
24368,KMKJ
61358,KC75
61359,N/A
85308,KDVT
85309,KLUF
24360,KHLX
85306,KDVT
75980,KLFK
85307,KGEU
85304,KGEU
24361,KVJI
85305,KGEU
85302,KGEU
24363,KGEV
85303,KGEU
48310,KVLL
85301,KGEU
48307,KVLL
48306,KVLL
61360,KC09
61361,KSQI
48304,KVLL
61362,KVYS
61363,N/A
36320,KMAI
48302,KVLL
61364,KPNT
97317,KSLE
36321,KDHN
48301,KVLL
24333,KHLX
61367,KRPJ
97310,KSLE
61368,KVYS
61369,KC75
97312,KSLE
48309,KVLL
85339,KPHX
85337,KGXF
85338,KGYR
85335,KGEU
24330,KHLX
36322,KOZR
85333,KGXF
36323,KLOR
85334,N/A
85331,KDVT
85332,KPRC
61370,KVYS
61372,N/A
61373,KVYS
97304,KSLE
97303,KSLE
61375,KC75
97306,KSLE
36310,KDHN
61376,KSQI
97305,KSLE
61377,KC75
24343,KHLX
61378,KRPJ
61379,KVYS
97302,KSLE
97301,KSLE
24348,KGEV
24347,KPSK
36319,KBIJ
85328,KBLH
85329,N/A
24340,KVJI
85326,KBXK
85324,KDVT
85325,KBLH
36311,KLOR
85322,KBXK
36312,KDHN
85323,KGYR
85320,N/A
36314,K1J0
85321,KGBN
36316,KOZR
36317,KDHN
36318,KOZR
24319,KJFZ
24318,KMKJ
97336,N/A
38961,KUOX
97338,KSLE
24311,KMKJ
97333,KCVO
24313,KHLX
97335,KSLE
24312,KHLX
24315,KBLF
24314,KBLF
24317,KMWK
97331,KCVO
24316,KJFZ
97330,KCVO
38963,KCKM
85355,KLUF
36301,KDHN
85356,KNYL
38965,KUOX
85353,KGEU
36303,KDHN
38964,KCKM
85354,KBXK
38967,KGWO
85351,KGEU
36305,KDHN
85352,N/A
85350,KNYL
97329,KSLE
97326,KCVO
97325,KSLE
38950,KGWO
97327,KCVO
97322,KCVO
24322,N/A
97321,KCVO
24324,KHLX
97324,KCVO
24323,N/A
24326,KMKJ
24325,KHLX
24328,KHLX
85348,KBXK
85346,KBLH
85347,KNYL
38952,KGWO
85344,KBLH
38951,KUOX
85345,KGEU
38954,KGWO
85342,KLUF
38953,KGWO
85343,KBXK
85340,KLUF
85341,KGBN
38957,KCKM
63901,KPOF
63932,KPOF
63931,N/A
63934,KPOF
63933,KPOF
63936,KPOF
63935,K4M9
48390,KPTK
75901,KLFK
48393,KPTK
75904,KLFK
75928,KDRI
75929,KLFK
63941,KUNO
63940,KPOF
63943,KPOF
63942,N/A
63945,KPOF
63944,KPOF
48380,KPTK
63937,KPOF
63939,N/A
75930,KJAS
75931,KJAS
48386,KPTK
75932,KDRI
75933,KJAS
48383,KPTK
75935,KOCH
48382,KPTK
75936,KLFK
48381,KPTK
75937,KOCH
63950,KFAM
63952,KPOF
63951,KPOF
63954,K4M9
63953,K4M9
63956,KPOF
63955,N/A
63957,KPOF
87901,KTCS
48377,KPTK
48375,KPTK
48374,KPTK
48371,KPTK
75925,KJSO
48370,KPTK
75926,KLFK
75949,KLFK
63961,KPOF
48367,KD95
63960,KPOF
61301,KVYS
63965,KPOF
63964,KPOF
63967,KPOF
87937,KLRU
87936,KTCS
87935,KTCS
87933,KTCS
75951,KJAS
87931,KTCS
87930,KTCS
75954,KSHV
48363,KPTK
48362,KPTK
